"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.025623500E0,-4.223757240E-2,9.156803666E-2,1.840569001E-1,2.098705800E-1
1.035661500E0,-4.826167546E-2,9.102389842E-2,1.809514439E-1,2.082257536E-1
1.045699500E0,-8.046956453E-3,1.138787641E-1,1.354957741E-1,1.771785292E-1
1.055736500E0,-6.737579288E-3,1.698728340E-1,6.250030339E-2,1.811310648E-1
1.065774500E0,1.039597256E-2,1.763141634E-1,4.504110217E-2,1.822730406E-1
1.075812500E0,5.062921308E-3,1.995459551E-1,-5.775236428E-2,2.077969128E-1
1.085850500E0,-6.945637953E-3,2.021947073E-1,-9.980027676E-2,2.255904182E-1
1.095887500E0,1.855170778E-3,1.831299337E-1,-1.288585997E-1,2.239297948E-1
1.105925500E0,1.865031331E-2,2.035434041E-1,-2.154365677E-1,2.969691335E-1
1.115963500E0,-1.966551785E-2,1.848855420E-1,-2.267567772E-1,2.932371604E-1
1.126000500E0,-2.240933978E-3,1.839196368E-1,-2.828590572E-1,3.374028761E-1
1.136038500E0,-3.429949978E-2,1.678899336E-1,-3.112823725E-1,3.553311145E-1
1.146076500E0,-3.712417318E-2,1.469179810E-1,-2.976431572E-1,3.339978240E-1
1.156113500E0,-5.145258327E-2,1.240677201E-1,-3.497061807E-1,3.746125736E-1
1.166151500E0,-8.815357335E-2,7.166422421E-2,-2.985980076E-1,3.194801772E-1
1.176189500E0,-8.918711440E-2,5.662156759E-2,-2.986494631E-1,3.167835934E-1
1.186227500E0,-1.037404048E-1,3.384700980E-2,-2.748612356E-1,2.957302665E-1
1.196264500E0,-1.343589749E-1,-1.485658726E-2,-1.973002589E-1,2.391661441E-1
1.206302500E0,-1.370011855E-1,-1.820293050E-2,-1.860209799E-1,2.317422630E-1
1.216340500E0,-1.630085318E-1,-8.082017820E-2,-9.972016990E-2,2.074796253E-1
1.226377500E0,-1.719242566E-1,-1.102366065E-1,-2.387710512E-2,2.056214375E-1
1.236415500E0,-1.904503919E-1,-1.227952928E-1,2.142419815E-3,2.266155901E-1
1.246453500E0,-1.821302791E-1,-1.592999170E-1,1.112567264E-1,2.663192845E-1
1.256490500E0,-1.591157297E-1,-1.494482722E-1,1.034764212E-1,2.415780852E-1
1.266528500E0,-1.298036285E-1,-1.629535680E-1,1.085652530E-1,2.349239482E-1
1.276566500E0,-8.656427273E-2,-1.674428957E-1,1.309934181E-1,2.295425281E-1
1.286604500E0,-3.596510200E-2,-1.399291696E-1,7.987296581E-2,1.650858920E-1
1.296641500E0,-1.026023721E-2,-1.574762983E-1,1.116221774E-1,1.932965791E-1
1.306679500E0,3.258123836E-2,-1.239206809E-1,7.054314852E-2,1.462675905E-1
1.316717500E0,5.486518278E-2,-1.023721746E-1,4.929904461E-2,1.261770431E-1
1.326754500E0,7.745936310E-2,-1.131999754E-1,5.060414314E-2,1.462018012E-1
1.336793250E0,8.131308021E-2,-9.904156398E-2,-1.323575735E-2,1.288263703E-1
1.346831250E0,8.007365322E-2,-9.056180393E-2,-9.419864416E-3,1.212516561E-1
1.356868250E0,9.274411272E-2,-7.328845281E-2,-1.860291660E-2,1.196609221E-1
1.366906250E0,1.147366785E-1,-4.095579877E-2,-6.112386882E-2,1.363011746E-1
1.376944250E0,9.509082877E-2,-2.659595076E-2,-3.263389528E-2,1.039931797E-1
1.386982250E0,1.134172634E-1,4.414538182E-3,-6.259619772E-2,1.296196272E-1
1.397019250E0,9.123628940E-2,-3.925729226E-3,-3.529496312E-2,9.790406669E-2
1.407057250E0,8.273291208E-2,3.141314283E-2,2.351691663E-2,9.156727391E-2
1.417095250E0,6.726807735E-2,5.577257015E-2,1.698674619E-2,8.901754522E-2
1.427132250E0,4.631766812E-2,5.749287581E-2,8.429813862E-2,1.120577232E-1
1.437170250E0,4.436002489E-2,1.020566807E-1,1.038828027E-1,1.522334214E-1
1.447208250E0,2.077057994E-2,1.212115562E-1,1.261624485E-1,1.761834889E-1
1.457245250E0,2.292449319E-2,1.253367486E-1,2.020014203E-1,2.388292418E-1
1.467283250E0,2.470482874E-2,1.779840185E-1,1.741990793E-1,2.502677739E-1
