"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.322856250E-1,-2.614416555E-2,4.428689927E-2,-8.029101789E-2,9.534932822E-2
8.423236250E-1,-8.915111423E-3,2.072804607E-2,7.909464836E-2,8.225019456E-2
8.523616250E-1,9.133357555E-3,-8.819882758E-3,2.393980622E-1,2.397345214E-1
8.623996250E-1,2.220974490E-2,-3.118457645E-2,3.891481161E-1,3.910268621E-1
8.724366250E-1,3.223605081E-2,-4.624810815E-2,5.170363784E-1,5.201006317E-1
8.824746250E-1,3.867291287E-2,-5.846323073E-2,6.179294586E-1,6.218925626E-1
8.925126250E-1,3.914065287E-2,-6.858704239E-2,6.808779240E-1,6.854421350E-1
9.025506250E-1,4.309491441E-2,-8.064450324E-2,7.026492357E-1,7.085736772E-1
9.125886250E-1,4.329854622E-2,-8.799757063E-2,6.871346831E-1,6.940982706E-1
9.226256250E-1,4.160024971E-2,-9.412603825E-2,6.287121177E-1,6.370786598E-1
9.326636250E-1,3.588089347E-2,-8.748167753E-2,5.351136327E-1,5.434032410E-1
9.427016250E-1,2.461412549E-2,-7.431101054E-2,4.123575985E-1,4.197222540E-1
9.527396250E-1,9.204819798E-3,-4.622937739E-2,2.720664144E-1,2.761195717E-1
9.627776250E-1,-6.267612800E-3,-1.467704400E-2,1.145116687E-1,1.156184278E-1
9.728146250E-1,-2.007662132E-2,1.748912781E-2,-4.368696362E-2,5.116142204E-2
9.828526250E-1,-2.799127251E-2,4.310554266E-2,-1.998147666E-1,2.063190251E-1
9.928906250E-1,-2.854092419E-2,6.583628058E-2,-3.464220762E-1,3.537757130E-1
1.002928625E0,-2.156530321E-2,7.817310840E-2,-4.815069437E-1,4.882878598E-1
1.012966625E0,-8.561037481E-3,8.783540875E-2,-5.931388140E-1,5.996682441E-1
1.023003625E0,4.698308650E-3,9.245519340E-2,-6.796300411E-1,6.859059919E-1
1.033041625E0,1.423912123E-2,1.027856991E-1,-7.364733219E-1,7.437476766E-1
1.043079625E0,2.041179687E-2,1.067322418E-1,-7.596657276E-1,7.673984823E-1
1.053117625E0,2.190887183E-2,1.158379167E-1,-7.419483066E-1,7.512560890E-1
1.063155625E0,1.804036275E-2,1.155377775E-1,-6.861942410E-1,6.960868977E-1
1.073192625E0,1.361738704E-2,1.156715155E-1,-5.902819037E-1,6.016627449E-1
1.083230625E0,9.729971178E-3,9.720569104E-2,-4.657256007E-1,4.758612759E-1
1.093268625E0,1.162791718E-2,6.929557025E-2,-3.143413067E-1,3.220986520E-1
1.103306625E0,1.929808781E-2,2.142897248E-2,-1.477866620E-1,1.505739503E-1
1.113344625E0,3.219846636E-2,-3.545970097E-2,3.279714286E-2,5.804984245E-2
1.123381625E0,4.454567656E-2,-9.536298364E-2,2.166042477E-1,2.408232050E-1
1.133419625E0,5.272083730E-2,-1.443070471E-1,3.996775746E-1,4.281894139E-1
1.143457625E0,5.867566168E-2,-1.877527982E-1,5.721716285E-1,6.050407581E-1
1.153495625E0,5.820238218E-2,-2.186130732E-1,7.194297314E-1,7.541606801E-1
1.163533625E0,5.077322572E-2,-2.400094420E-1,8.273905516E-1,8.629933821E-1
1.173570625E0,4.275541380E-2,-2.487833351E-1,8.906182051E-1,9.257007942E-1
1.183608625E0,3.085507639E-2,-2.466733307E-1,9.063526988E-1,9.398271024E-1
1.193646625E0,1.480888389E-2,-2.306659669E-1,8.725512624E-1,9.026471053E-1
1.203684625E0,4.038461484E-4,-2.024734765E-1,8.040688634E-1,8.291697105E-1
1.213722625E0,-1.600592956E-2,-1.683113277E-1,6.996493936E-1,7.197875844E-1
1.223759625E0,-2.921494097E-2,-1.270685494E-1,5.632662773E-1,5.781598639E-1
1.233797625E0,-3.735135868E-2,-9.248319268E-2,4.041454196E-1,4.162712879E-1
1.243835625E0,-4.372803122E-2,-5.191126466E-2,2.154231668E-1,2.258629250E-1
1.253873625E0,-5.257748812E-2,-3.145166207E-3,2.065150253E-2,5.657533813E-2
1.263911625E0,-5.786146596E-2,4.051256552E-2,-1.794733405E-1,1.928727486E-1
1.273948625E0,-5.807645619E-2,8.675041795E-2,-3.702329993E-1,3.846699671E-1
1.283986625E0,-5.255519226E-2,1.197347343E-1,-5.358682871E-1,5.515915844E-1
1.294024625E0,-3.975501284E-2,1.480701268E-1,-6.745463610E-1,6.917499668E-1
1.304062625E0,-2.795640752E-2,1.678827107E-1,-7.818403244E-1,8.001502722E-1
1.314100625E0,-1.542420685E-2,1.866970211E-1,-8.545595407E-1,8.748518118E-1
1.324137625E0,-1.092266478E-2,2.003214955E-1,-8.893886209E-1,9.117346791E-1
1.334175625E0,-7.587970234E-3,2.066746205E-1,-8.826807141E-1,9.065854726E-1
1.344213625E0,-1.226155180E-2,2.096171528E-1,-8.273048401E-1,8.535355850E-1
1.354251625E0,-1.955900714E-2,2.102171183E-1,-7.282202244E-1,7.582074167E-1
1.364288625E0,-3.090007789E-2,2.024614662E-1,-5.977165699E-1,6.318311151E-1
1.374326625E0,-3.700455278E-2,1.768798530E-1,-4.320845306E-1,4.683512153E-1
1.384364625E0,-3.297891468E-2,1.332088113E-1,-2.497565448E-1,2.849746092E-1
1.394402625E0,-2.076910995E-2,6.898740679E-2,-5.774569139E-2,9.233191809E-2
1.404440625E0,1.163086854E-3,-2.612213604E-3,1.400544792E-1,1.400836664E-1
1.414477625E0,2.683408372E-2,-8.473684639E-2,3.322536349E-1,3.439373186E-1
1.424515625E0,5.005551875E-2,-1.440803260E-1,5.118585229E-1,5.341009668E-1
1.434553625E0,6.557230651E-2,-1.943449229E-1,6.631246805E-1,6.941210401E-1
1.444591625E0,7.157321274E-2,-2.164537013E-1,7.806670070E-1,8.132748031E-1
1.454629625E0,7.198938727E-2,-2.259997427E-1,8.511444926E-1,8.835752956E-1
1.464666625E0,6.745561957E-2,-2.190044224E-1,8.712215424E-1,9.008552456E-1
1.474704625E0,5.933454633E-2,-2.039043605E-1,8.398907185E-1,8.663221084E-1
1.484742625E0,5.026914179E-2,-1.720689237E-1,7.615261078E-1,7.823405358E-1
1.494780625E0,3.628381342E-2,-1.339665502E-1,6.413879991E-1,6.562332794E-1
1.504818625E0,1.802997850E-2,-8.357341588E-2,4.907393754E-1,4.981312382E-1
1.514855625E0,-4.291217308E-3,-1.499900408E-2,3.187750280E-1,3.191565496E-1
1.524893625E0,-2.947193757E-2,5.088919774E-2,1.325633377E-1,1.450218744E-1
1.534931625E0,-4.345348477E-2,1.116844043E-1,-5.663757026E-2,1.325497109E-1
1.544969625E0,-4.544606060E-2,1.444093287E-1,-2.428937256E-1,2.862110421E-1
1.555007625E0,-3.197520971E-2,1.626113802E-1,-4.163408279E-1,4.481122181E-1
1.565044625E0,-1.160788536E-2,1.578845233E-1,-5.715181828E-1,5.930390366E-1
1.575082625E0,6.850053091E-3,1.562741995E-1,-6.979271770E-1,7.152418423E-1
1.585120625E0,2.004841343E-2,1.530911773E-1,-7.876322865E-1,8.026228668E-1
1.595158625E0,2.490949258E-2,1.506748646E-1,-8.347381949E-1,8.485936906E-1
1.605196625E0,1.723399758E-2,1.504495740E-1,-8.459575772E-1,8.594046238E-1
1.615233625E0,4.290755372E-3,1.457794756E-1,-8.081924319E-1,8.212460491E-1
1.625271625E0,-1.191937365E-2,1.314106584E-1,-7.338857055E-1,7.456534458E-1
1.635309625E0,-2.684650570E-2,1.072280332E-1,-6.143724918E-1,6.242372503E-1
1.645347625E0,-3.950078040E-2,6.822417676E-2,-4.564161301E-1,4.631744096E-1
1.655385625E0,-4.322192818E-2,1.380688418E-2,-2.693184912E-1,2.731139228E-1
1.665422625E0,-4.266399518E-2,-5.009912699E-2,-6.046299636E-2,8.936393534E-2
1.675460625E0,-3.193942085E-2,-1.238797009E-1,1.559536457E-1,2.017122865E-1
1.685498625E0,-1.617616974E-2,-1.883060932E-1,3.703983128E-1,4.158314122E-1
1.695536625E0,-3.340228461E-3,-2.435588539E-1,5.682198405E-1,6.182279997E-1
1.705574625E0,1.386618894E-2,-2.791381478E-1,7.393758297E-1,7.904346869E-1
1.715611625E0,3.279573470E-2,-3.059220314E-1,8.769102097E-1,9.293198402E-1
1.725649625E0,4.841969907E-2,-3.145850301E-1,9.651580453E-1,1.016286505E0
1.735687625E0,6.010013819E-2,-3.112873137E-1,9.997214675E-1,1.048787314E0
1.745725625E0,6.144370139E-2,-2.811360955E-1,9.795445800E-1,1.020940947E0
1.755763625E0,5.855749175E-2,-2.362268567E-1,9.010677934E-1,9.333569928E-1
1.765800625E0,4.606087878E-2,-1.742324531E-1,7.752842903E-1,7.959549504E-1
1.775838625E0,2.377495915E-2,-9.600090981E-2,6.071740389E-1,6.151761836E-1
1.785876625E0,-5.807143170E-4,-1.436756551E-2,4.164437652E-1,4.166919410E-1
1.795914625E0,-2.189903706E-2,6.250109524E-2,2.071752846E-1,2.175029960E-1
1.805951042E0,-3.312798962E-2,1.238171831E-1,-4.242145456E-3,1.282425605E-1
1.815989042E0,-3.594672680E-2,1.688157767E-1,-2.084772140E-1,2.706541749E-1
1.826027042E0,-2.892583609E-2,1.912747473E-1,-3.994037509E-1,4.437860849E-1
1.836065042E0,-1.969173364E-2,2.073687464E-1,-5.699376464E-1,6.068100874E-1
1.846103042E0,-1.010515261E-2,2.212225199E-1,-7.185151577E-1,7.518680398E-1
1.856140042E0,-6.859810557E-3,2.318905890E-1,-8.371243477E-1,8.686757023E-1
1.866178042E0,-8.773025125E-3,2.400590330E-1,-9.225987792E-1,9.533592254E-1
1.876216042E0,-1.593257859E-2,2.475437671E-1,-9.548614025E-1,9.865556556E-1
1.886254042E0,-2.707338147E-2,2.456494719E-1,-9.305816293E-1,9.628389272E-1
1.896292042E0,-3.744002804E-2,2.362592518E-1,-8.456072807E-1,8.787899994E-1
1.906329042E0,-4.650915787E-2,2.121009231E-1,-7.148679495E-1,7.471185238E-1
1.916367042E0,-4.955585301E-2,1.784693599E-1,-5.487384200E-1,5.791553752E-1
1.926405042E0,-4.871935397E-2,1.311857253E-1,-3.582699299E-1,3.846304884E-1
1.936443042E0,-3.683922067E-2,7.263458520E-2,-1.518167704E-1,1.722824510E-1
1.946481042E0,-1.729800925E-2,1.312470064E-3,6.179218739E-2,6.418113527E-2
1.956518042E0,3.181346226E-3,-6.958954036E-2,2.760246396E-1,2.846795159E-1
1.966556042E0,3.137836233E-2,-1.358972043E-1,4.719834924E-1,4.921595969E-1
1.976594042E0,5.565840378E-2,-1.901734918E-1,6.411320567E-1,6.710544904E-1
1.986632042E0,7.461424917E-2,-2.352818400E-1,7.684423327E-1,8.071111752E-1
1.996670042E0,8.656526357E-2,-2.588071525E-1,8.422704935E-1,8.853780386E-1
2.006707042E0,8.596977592E-2,-2.616918981E-1,8.619012237E-1,9.048464904E-1
2.016745042E0,7.950647175E-2,-2.490316778E-1,8.275870681E-1,8.678930872E-1
2.026783042E0,6.042945385E-2,-2.090635002E-1,7.448127866E-1,7.759544787E-1
2.036821042E0,3.397760913E-2,-1.594672352E-1,6.226976514E-1,6.436898648E-1
2.046859042E0,3.259110730E-3,-9.924783558E-2,4.686824977E-1,4.790866710E-1
2.056896042E0,-2.258866839E-2,-3.743105754E-2,2.924741507E-1,2.957236223E-1
2.066934042E0,-5.086078867E-2,2.738921717E-2,1.050443351E-1,1.198803628E-1
2.076972042E0,-7.487741113E-2,9.414365888E-2,-8.900298178E-2,1.496368470E-1
2.087010042E0,-9.016209096E-2,1.540557295E-1,-2.800885141E-1,3.321324226E-1
2.097048042E0,-8.564756811E-2,1.857661903E-1,-4.623069763E-1,5.055416142E-1
2.107085042E0,-6.391164660E-2,2.019345015E-1,-6.282123327E-1,6.629577486E-1
2.117123042E0,-2.767128497E-2,1.909692734E-1,-7.602726817E-1,7.843784252E-1
2.127161042E0,1.187132951E-2,1.737026721E-1,-8.535656333E-1,8.711416860E-1
2.137199042E0,4.380861670E-2,1.618598849E-1,-9.005209208E-1,9.159998613E-1
2.147237042E0,6.353305280E-2,1.485813558E-1,-8.938430548E-1,9.083326894E-1
2.157274042E0,7.726337016E-2,1.258382201E-1,-8.307815790E-1,8.438026535E-1
2.167312042E0,7.938005030E-2,9.712455422E-2,-7.131060958E-1,7.240543317E-1
2.177350042E0,7.353343815E-2,6.463897228E-2,-5.494327545E-1,5.580875514E-1
2.187388042E0,5.917207897E-2,2.665856853E-2,-3.541711867E-1,3.600683875E-1
2.197426042E0,3.783517331E-2,-1.091948524E-2,-1.301595569E-1,1.359861969E-1
2.207463042E0,1.214924920E-2,-5.233057216E-2,9.514228255E-2,1.092618276E-1
2.217501042E0,-1.878846437E-2,-8.784606308E-2,3.170019388E-1,3.294846983E-1
2.227539042E0,-4.814688489E-2,-1.178367212E-1,5.170151591E-1,5.324549654E-1
2.237577042E0,-7.036467642E-2,-1.456791162E-1,6.830291748E-1,7.019276645E-1
2.247614042E0,-8.975595236E-2,-1.686331779E-1,8.059042096E-1,8.282360018E-1
2.257652042E0,-1.017126366E-1,-1.803741306E-1,8.714994788E-1,8.957631545E-1
2.267690042E0,-1.056253538E-1,-1.885140836E-1,8.852736354E-1,9.112648817E-1
2.277728042E0,-9.969805181E-2,-1.893672943E-1,8.378090262E-1,8.647101469E-1
2.287766042E0,-8.690795302E-2,-1.773098409E-1,7.386669517E-1,7.646048898E-1
2.297803042E0,-6.176552922E-2,-1.596500576E-1,5.902190804E-1,6.145418492E-1
2.307841042E0,-3.251922876E-2,-1.321180314E-1,4.015846550E-1,4.240081481E-1
2.317879042E0,5.319812335E-4,-9.686439484E-2,1.884840280E-1,2.119179624E-1
2.327917042E0,3.641941026E-2,-5.488392338E-2,-3.941785172E-2,7.676187545E-2
2.337955042E0,6.944745034E-2,-7.448360324E-3,-2.598151863E-1,2.690396949E-1
2.347992042E0,1.027153879E-1,4.090479016E-2,-4.658540785E-1,4.787939800E-1
2.358030042E0,1.302198768E-1,9.058568627E-2,-6.391023993E-1,6.584943885E-1
2.368068042E0,1.439359486E-1,1.396456361E-1,-7.675147057E-1,7.932826006E-1
2.378106042E0,1.522821039E-1,1.829048693E-1,-8.488042951E-1,8.815399944E-1
2.388144042E0,1.501473039E-1,2.197403908E-1,-8.727517128E-1,9.124284106E-1
