"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
9.361306667E-1,-4.275304452E-2,-2.038478851E-2,-1.237442624E-2,4.895394614E-2
9.461686667E-1,-3.704775125E-2,-2.040902339E-2,-7.770352997E-3,4.300514497E-2
9.562066667E-1,-2.572462708E-2,-1.691295020E-2,-6.861965172E-3,3.154189102E-2
9.662446667E-1,-1.260083448E-2,-1.324790902E-2,-2.889061114E-3,1.851039700E-2
9.762816667E-1,-1.367233461E-3,-9.483230300E-3,3.142933594E-3,1.008360133E-2
9.863196667E-1,1.189743914E-2,-2.036766149E-3,6.062556989E-3,1.350748206E-2
9.963576667E-1,2.220153995E-2,4.069371149E-3,1.080955472E-2,2.502627881E-2
1.006395667E0,3.393889219E-2,6.923747249E-3,1.258242037E-2,3.685246235E-2
1.016433667E0,3.803681582E-2,1.411375683E-2,1.568738930E-2,4.349818011E-2
1.026471667E0,3.899502009E-2,1.519846264E-2,1.465594769E-2,4.434412770E-2
1.036509667E0,3.653815389E-2,1.947033964E-2,1.443856210E-2,4.384749583E-2
1.046546667E0,3.084351867E-2,2.220593952E-2,1.430806890E-2,4.060969379E-2
1.056584667E0,2.168890275E-2,1.897475123E-2,1.142727118E-2,3.100051957E-2
1.066622667E0,9.603211656E-3,1.944320090E-2,7.595248520E-3,2.297710895E-2
1.076660667E0,-4.247629084E-3,1.686387882E-2,3.894363763E-3,1.782130272E-2
1.086698667E0,-1.402941998E-2,1.432934869E-2,-3.339368850E-4,2.005657929E-2
1.096736667E0,-2.550946176E-2,8.934184909E-3,-6.153482944E-3,2.772034725E-2
1.106774667E0,-3.528885543E-2,-1.362129115E-3,-8.392401971E-3,3.629863805E-2
1.116811667E0,-3.894283995E-2,-6.003811024E-3,-1.241285633E-2,4.131185705E-2
1.126849667E0,-4.071011394E-2,-9.498410858E-3,-1.585499197E-2,4.470921557E-2
1.136887667E0,-3.481409699E-2,-1.784598082E-2,-1.525413431E-2,4.199034406E-2
1.146925667E0,-2.766191214E-2,-2.124603838E-2,-1.619369723E-2,3.845531641E-2
1.156963667E0,-1.793715544E-2,-2.615328692E-2,-1.456841920E-2,3.489949570E-2
1.167001667E0,-7.177717984E-3,-2.366323210E-2,-1.157129742E-2,2.730133903E-2
1.177038667E0,5.951155443E-3,-2.390910871E-2,-9.606553242E-3,2.644518096E-2
1.187076667E0,1.917774603E-2,-2.361136675E-2,-6.632335484E-3,3.113310869E-2
1.197114667E0,2.738181874E-2,-1.769064367E-2,-2.216515597E-3,3.267469682E-2
1.207152667E0,3.628609702E-2,-1.402932964E-2,1.922569470E-3,3.895124132E-2
1.217190667E0,4.328300059E-2,-3.974499181E-3,6.838101894E-3,4.399970933E-2
1.227228667E0,4.174102843E-2,3.744140966E-3,8.453043178E-3,4.275261378E-2
1.237266667E0,3.911062703E-2,8.954640478E-3,9.536094964E-3,4.124031813E-2
1.247303667E0,3.040049225E-2,1.723627187E-2,1.208687108E-2,3.697798601E-2
1.257341667E0,2.236325108E-2,2.312561125E-2,1.290894672E-2,3.466337836E-2
1.267379667E0,1.028421801E-2,2.743221074E-2,1.184261683E-2,3.159966613E-2
1.277417667E0,-4.004641902E-3,2.982776426E-2,1.165424380E-2,3.227311692E-2
1.287455667E0,-1.650259085E-2,2.844372019E-2,7.760968991E-3,3.378776943E-2
1.297493667E0,-2.835234627E-2,2.795059420E-2,4.204131663E-3,4.003455980E-2
1.307531667E0,-3.550426289E-2,2.416863851E-2,1.322325086E-3,4.297003974E-2
1.317568667E0,-3.925690427E-2,1.563074440E-2,-4.024107475E-3,4.244547260E-2
1.327606667E0,-4.080020636E-2,8.663116023E-3,-6.141320802E-3,4.215948576E-2
1.337644667E0,-3.989661857E-2,-2.178305294E-3,-8.664473891E-3,4.088469513E-2
1.347682667E0,-3.082269803E-2,-7.467875723E-3,-1.071217842E-2,3.347474642E-2
1.357720667E0,-2.090613171E-2,-1.694802195E-2,-1.375944819E-2,3.022621719E-2
1.367758667E0,-1.007292513E-2,-2.565069869E-2,-1.177885570E-2,2.996937780E-2
1.377796667E0,2.601614688E-3,-3.027215041E-2,-1.023755409E-2,3.206211165E-2
1.387833667E0,1.177647151E-2,-3.484079987E-2,-8.987465873E-3,3.785949233E-2
1.397871667E0,2.571807802E-2,-3.405740857E-2,-6.764574442E-3,4.320979152E-2
1.407909667E0,3.320209309E-2,-3.447153047E-2,-3.817253979E-3,4.801288188E-2
1.417947667E0,3.664246574E-2,-2.960927226E-2,1.451815479E-5,4.711029091E-2
1.427985667E0,3.558492288E-2,-2.168530226E-2,4.133895971E-3,4.187634375E-2
1.438023667E0,3.181655705E-2,-1.338604372E-2,5.212896969E-3,3.490922176E-2
1.448060667E0,2.665428631E-2,-5.188833922E-3,8.023330942E-3,2.831516935E-2
1.458098667E0,1.808574796E-2,4.084052052E-3,9.914400987E-3,2.102543953E-2
1.468136667E0,4.827199038E-3,1.296169963E-2,1.240419038E-2,1.857879024E-2
1.478174667E0,-6.799013354E-3,2.289683744E-2,1.411670074E-2,2.774478306E-2
1.488212667E0,-1.824421436E-2,3.063305467E-2,1.139361784E-2,3.743060143E-2
1.498250667E0,-2.592290938E-2,3.245329857E-2,1.329144184E-2,4.361050613E-2
1.508288875E0,-3.379042074E-2,3.551673517E-2,8.480973542E-3,4.975095902E-2
1.518325875E0,-3.787833825E-2,3.354261443E-2,6.723923609E-3,5.104004937E-2
1.528363875E0,-3.595899791E-2,2.926664427E-2,4.126808606E-3,4.654692843E-2
