"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.922221667E-1,7.811775958E-2,5.947915670E-3,5.407563508E-2,9.519420346E-2
8.022601667E-1,9.694880895E-2,-1.750923146E-2,7.029230297E-2,1.210233556E-1
8.122981667E-1,1.194607080E-1,-3.230699938E-2,7.723821044E-2,1.458778397E-1
8.223361667E-1,1.301842914E-1,-3.735088069E-2,7.012156427E-2,1.525125299E-1
8.323741667E-1,1.412902918E-1,-6.143121310E-2,7.557701647E-2,1.716060194E-1
8.424121667E-1,1.554068956E-1,-8.254724471E-2,7.832754672E-2,1.926150446E-1
8.524511667E-1,1.457523569E-1,-8.057198217E-2,5.591750801E-2,1.756768668E-1
8.624891667E-1,1.359116939E-1,-1.005516257E-1,4.726012051E-2,1.755452562E-1
8.725271667E-1,1.444861697E-1,-8.837814298E-2,2.660717010E-2,1.714493829E-1
8.825651667E-1,1.226361481E-1,-1.038729721E-1,1.760362744E-2,1.616759316E-1
8.926031667E-1,1.032393532E-1,-1.184966757E-1,9.431558847E-4,1.571646135E-1
9.026411667E-1,8.016592959E-2,-1.224066175E-1,-2.257609963E-3,1.463388297E-1
9.126791667E-1,3.538524779E-2,-1.326042712E-1,-3.196321964E-2,1.409171952E-1
9.227171667E-1,2.386040401E-2,-1.344387620E-1,-4.071299314E-2,1.424803405E-1
9.327561667E-1,-3.088700306E-4,-1.191461917E-1,-5.065910697E-2,1.294691296E-1
9.427941667E-1,-3.198323722E-2,-1.114197175E-1,-5.311259866E-2,1.275077608E-1
9.528321667E-1,-6.302245975E-2,-9.807414215E-2,-5.135901868E-2,1.273896251E-1
9.628701667E-1,-8.065159567E-2,-9.224857947E-2,-6.395801425E-2,1.382212281E-1
9.729081667E-1,-1.036686393E-1,-6.051895609E-2,-6.008481860E-2,1.342382816E-1
9.829461667E-1,-1.031171921E-1,-5.844370617E-2,-8.343742847E-2,1.449504279E-1
9.929841667E-1,-1.076776091E-1,-3.025864664E-2,-6.845276892E-2,1.311328898E-1
1.003023167E0,-1.115076085E-1,1.493406286E-2,-7.680083871E-2,1.362179937E-1
1.013061167E0,-8.119267325E-2,3.123739745E-2,-7.390471280E-2,1.141487265E-1
1.023099167E0,-8.646002783E-2,6.093703201E-2,-8.043137491E-2,1.328828971E-1
1.033137167E0,-7.336743590E-2,9.593303796E-2,-1.026396847E-1,1.584955308E-1
1.043175167E0,-5.516405772E-2,1.176512049E-1,-9.371449471E-2,1.602101301E-1
1.053213167E0,-4.154078529E-2,1.284712764E-1,-8.644523621E-2,1.603224394E-1
1.063251167E0,-1.992055924E-2,1.647156995E-1,-8.428819835E-2,1.860983361E-1
1.073289167E0,4.930838188E-3,1.756361239E-1,-7.362346172E-2,1.905066280E-1
1.083328167E0,5.484889280E-3,1.924481845E-1,-6.554904163E-2,2.033791154E-1
1.093366167E0,2.974212737E-2,1.935489229E-1,-6.632906020E-2,2.067494230E-1
1.103404167E0,4.073724082E-2,2.027625085E-1,-3.868634820E-2,2.104014999E-1
1.113442167E0,2.608499547E-2,1.969077645E-1,-3.500260234E-2,2.016885641E-1
