"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
9.840315000E-1,5.773387849E-2,-6.898417324E-2,7.057772949E-3,9.023208433E-2
9.940685000E-1,3.214377910E-2,-6.132217869E-2,3.434348386E-3,6.932118639E-2
1.004106500E0,5.504978821E-3,-4.794805124E-2,7.205873262E-4,4.826841261E-2
1.014143500E0,-2.418415435E-2,-3.222431988E-2,-1.392329112E-3,4.031400121E-2
1.024181500E0,-5.042508245E-2,-1.209987700E-2,-6.117043085E-3,5.221603374E-2
1.034219500E0,-7.100874931E-2,6.062491797E-3,-7.289381232E-3,7.163889561E-2
1.044256500E0,-8.354478329E-2,2.470648289E-2,-8.608445525E-3,8.754568206E-2
1.054294500E0,-9.030415118E-2,4.106974602E-2,-9.280627593E-3,9.963781314E-2
1.064332500E0,-8.876591176E-2,5.242653191E-2,-8.073681965E-3,1.034075078E-1
1.074369500E0,-7.636247575E-2,6.057725847E-2,-7.048162632E-3,9.772670333E-2
1.084407500E0,-6.044503301E-2,6.358290464E-2,-7.549369708E-3,8.805328365E-2
1.094444500E0,-3.491366655E-2,6.030358374E-2,-4.460968077E-3,6.982396838E-2
1.104482500E0,-9.331609122E-3,5.680552125E-2,-1.453992911E-3,5.758524350E-2
1.114520500E0,1.659813710E-2,4.534546658E-2,-1.072464511E-5,4.828777909E-2
1.124557500E0,4.038123414E-2,3.121074289E-2,1.273984089E-3,5.105269413E-2
1.134595500E0,6.001400203E-2,1.645160839E-2,5.392527208E-3,6.246130968E-2
1.144633500E0,7.177612185E-2,-5.212486722E-4,6.164844148E-3,7.204227004E-2
1.154670500E0,7.483193278E-2,-1.778746396E-2,8.629081771E-3,7.739943857E-2
1.164708500E0,7.072107494E-2,-2.958447114E-2,8.533740416E-3,7.713323602E-2
1.174746500E0,5.946099013E-2,-4.372737184E-2,8.948545903E-3,7.434896683E-2
1.184783500E0,4.268333688E-2,-5.463407934E-2,8.344008587E-3,6.983102714E-2
1.194821500E0,1.737137325E-2,-5.749331042E-2,7.372840308E-3,6.051119009E-2
1.204858500E0,-7.798962295E-3,-5.805683509E-2,6.520362571E-3,5.894009706E-2
1.214896500E0,-3.428296000E-2,-5.419656634E-2,4.001781344E-3,6.425420923E-2
1.224934500E0,-5.765938759E-2,-4.967771471E-2,2.465137513E-3,7.614825814E-2
1.234971500E0,-7.172024995E-2,-3.878608346E-2,1.258581411E-3,8.154592909E-2
1.245009500E0,-8.415401727E-2,-2.558186464E-2,-1.749459072E-3,8.797380876E-2
1.255047500E0,-8.450667560E-2,-1.214235835E-2,-1.087807119E-3,8.538148752E-2
1.265084500E0,-7.695421576E-2,1.988905948E-3,-2.796491142E-3,7.703069150E-2
1.275122500E0,-6.334909052E-2,1.399906445E-2,-2.724996069E-3,6.493463389E-2
1.285159500E0,-3.913589567E-2,2.847440913E-2,-3.827012144E-3,4.854952448E-2
1.295197500E0,-1.434065402E-2,3.825091198E-2,-3.937324509E-3,4.104009197E-2
1.305235500E0,1.602230966E-2,4.459935799E-2,-2.484570257E-3,4.745513913E-2
1.315272500E0,4.421349242E-2,4.768790677E-2,-5.054369569E-3,6.522665112E-2
1.325310500E0,6.925918907E-2,5.080540106E-2,-3.792830277E-3,8.597912310E-2
1.335348500E0,8.699940145E-2,4.735406861E-2,-4.446888342E-3,9.915179515E-2
1.345385500E0,9.819879383E-2,4.211243615E-2,-2.314494923E-3,1.068729024E-1
1.355423500E0,1.012554169E-1,3.345024213E-2,-4.162355326E-3,1.067188050E-1
1.365461500E0,9.469951689E-2,2.475901507E-2,-3.099221271E-3,9.793167261E-2
1.375498500E0,7.898808271E-2,1.293963566E-2,-3.939822316E-3,8.013784113E-2
1.385536500E0,6.099709868E-2,2.794324188E-3,-5.990189966E-3,6.135419033E-2
1.395573500E0,3.019822203E-2,-8.215267211E-3,-5.164416041E-3,3.171899150E-2
1.405611500E0,-9.550014511E-5,-1.898775436E-2,-4.911415745E-3,1.961290240E-2
1.415649500E0,-2.914327942E-2,-2.578229271E-2,-5.378051661E-3,3.928079419E-2
1.425686500E0,-5.651125312E-2,-3.070807643E-2,-4.201999865E-3,6.445280824E-2
1.435724500E0,-7.654081285E-2,-3.858542070E-2,-3.880318487E-3,8.580435650E-2
1.445762500E0,-8.812290430E-2,-3.931219876E-2,-7.542999228E-4,9.649696473E-2
1.455799500E0,-9.480050951E-2,-4.019423574E-2,4.012456629E-4,1.029702588E-1
1.465837500E0,-8.848455548E-2,-3.653132543E-2,2.848424250E-3,9.577143529E-2
1.475874500E0,-7.569937408E-2,-3.285534680E-2,3.445021808E-3,8.259380863E-2
1.485912500E0,-5.896380544E-2,-2.726190723E-2,7.032832131E-3,6.534066625E-2
1.495950500E0,-3.339511156E-2,-1.898230240E-2,9.115921333E-3,3.947988478E-2
1.505987500E0,-6.882278714E-3,-8.311281912E-3,1.001340710E-2,1.472112390E-2
1.516025500E0,1.995315962E-2,-7.757442072E-4,1.057082042E-2,2.259364074E-2
1.526063500E0,4.490271956E-2,1.026518922E-2,9.658422321E-3,4.706286705E-2
1.536100500E0,6.286007911E-2,1.770226657E-2,1.080089621E-2,6.619228918E-2
1.546138500E0,7.516042143E-2,2.575486526E-2,8.816307411E-3,7.993828439E-2
1.556175500E0,7.779859751E-2,3.124813363E-2,6.255924702E-3,8.407261281E-2
1.566213500E0,7.184004039E-2,3.667565435E-2,3.959214315E-3,8.075747893E-2
1.576251500E0,5.852577835E-2,4.020842165E-2,5.664194468E-4,7.100918767E-2
1.586288500E0,3.880213946E-2,3.846112266E-2,-3.481052816E-3,5.474469574E-2
1.596326500E0,1.378167048E-2,3.560566157E-2,-6.382804364E-3,3.870965989E-2
1.606364500E0,-1.295620110E-2,3.041915223E-2,-8.731712587E-3,3.419694100E-2
1.616401500E0,-3.827954084E-2,2.245834470E-2,-1.277331915E-2,4.618287751E-2
1.626439500E0,-5.846603587E-2,1.415088214E-2,-1.201857906E-2,6.134306039E-2
1.636476500E0,-7.628841698E-2,2.226970159E-3,-1.416701637E-2,7.762465017E-2
1.646514500E0,-8.427630365E-2,-8.693855256E-3,-1.086602733E-2,8.541749836E-2
1.656552500E0,-8.529239893E-2,-2.059511095E-2,-9.912364185E-3,8.830179429E-2
1.666589500E0,-7.848722488E-2,-3.077770770E-2,-5.928008817E-3,8.451421803E-2
1.676627500E0,-6.056143343E-2,-3.838752955E-2,-1.208585687E-3,7.171297180E-2
1.686665500E0,-3.929182887E-2,-4.431173205E-2,1.393588958E-3,5.923950965E-2
1.696702500E0,-1.265322976E-2,-4.784221575E-2,3.592849709E-3,4.961744048E-2
1.706740500E0,1.654433645E-2,-4.865527898E-2,9.139681235E-3,5.219755755E-2
1.716777500E0,4.221021384E-2,-4.272577167E-2,9.844116867E-3,6.086132067E-2
1.726815500E0,6.581433862E-2,-3.500606865E-2,1.339837071E-2,7.573947682E-2
1.736853500E0,8.298502862E-2,-2.508227155E-2,1.481934823E-2,8.795026096E-2
1.746890500E0,9.438016266E-2,-1.307780761E-2,1.564785652E-2,9.655827033E-2
1.756928500E0,9.780668467E-2,1.363306772E-3,1.358418912E-2,9.875493084E-2
1.766966500E0,8.814419806E-2,1.577180810E-2,9.727664292E-3,9.007095556E-2
1.777003500E0,7.567176223E-2,2.942005731E-2,5.993984640E-3,8.141058422E-2
1.787041500E0,5.431934074E-2,3.955951333E-2,4.705884494E-4,6.719945927E-2
1.797078500E0,2.831185609E-2,5.106838048E-2,-3.932098858E-3,5.852351733E-2
1.807116500E0,-3.453539684E-4,5.634703115E-2,-9.475468658E-3,5.713923078E-2
1.817154500E0,-2.708669007E-2,5.927253515E-2,-1.194725651E-2,6.625450279E-2
1.827191500E0,-4.948760569E-2,5.571907759E-2,-1.566715911E-2,7.615181284E-2
1.837229500E0,-6.791323423E-2,4.904935509E-2,-1.978791319E-2,8.607908066E-2
1.847267500E0,-8.028654754E-2,3.855623305E-2,-1.895753853E-2,9.105987640E-2
1.857304500E0,-8.142092079E-2,2.464634180E-2,-1.965492032E-2,8.731050566E-2
1.867342500E0,-7.520297170E-2,1.017658878E-2,-1.837633736E-2,7.808162195E-2
1.877379500E0,-6.324341148E-2,-6.606019102E-3,-1.430690382E-2,6.517711317E-2
1.887417500E0,-4.382363707E-2,-2.417062968E-2,-1.160326321E-2,5.137476250E-2
1.897455500E0,-2.301028371E-2,-3.975405917E-2,-5.453045014E-3,4.625574642E-2
1.907492500E0,2.460455988E-3,-5.114546418E-2,2.008599928E-3,5.124399305E-2
1.917530500E0,2.724239603E-2,-6.052759290E-2,4.356212448E-3,6.651852547E-2
1.927568500E0,4.497691989E-2,-6.476414949E-2,1.091531198E-2,7.960189958E-2
1.937605500E0,5.995083600E-2,-6.657450646E-2,1.393719390E-2,9.066704485E-2
1.947643500E0,6.639169157E-2,-5.929449201E-2,1.951731369E-2,9.112968246E-2
1.957681500E0,6.710011512E-2,-5.083137006E-2,2.193326876E-2,8.699035527E-2
1.967718500E0,5.840063468E-2,-3.750198334E-2,2.368509583E-2,7.333496199E-2
1.977756500E0,4.324144125E-2,-2.206693962E-2,2.270615473E-2,5.359423037E-2
1.987793500E0,2.452367917E-2,-2.799236681E-3,2.052981965E-2,3.210482924E-2
1.997831500E0,-1.452572178E-4,1.588896662E-2,1.572459936E-2,2.235494095E-2
2.007869500E0,-2.467989549E-2,3.080400079E-2,1.167632826E-2,4.116212273E-2
2.017906500E0,-4.730174690E-2,4.657531530E-2,6.074598059E-3,6.666045302E-2
2.027944500E0,-6.555638462E-2,5.642475188E-2,-7.670624182E-4,8.649844261E-2
2.037982500E0,-7.693021744E-2,6.336792558E-2,-6.488546263E-3,9.987919494E-2
2.048019500E0,-8.248183876E-2,6.255779415E-2,-1.248358842E-2,1.042716228E-1
2.058057500E0,-7.861793786E-2,5.842638761E-2,-1.506485324E-2,9.910283914E-2
2.068094500E0,-6.648696959E-2,5.039402470E-2,-2.019942924E-2,8.583758962E-2
2.078132500E0,-4.914635047E-2,3.721311688E-2,-2.047739737E-2,6.495770652E-2
2.088170500E0,-2.498828433E-2,2.229116112E-2,-2.226597629E-2,4.021298196E-2
2.098207500E0,1.247112174E-3,4.398534074E-3,-2.085671760E-2,2.135193340E-2
2.108245500E0,2.700920030E-2,-1.176818460E-2,-1.821193285E-2,3.463613096E-2
2.118283500E0,5.262494087E-2,-2.893817984E-2,-1.390410401E-2,6.164516820E-2
2.128320500E0,7.127878070E-2,-4.109604284E-2,-8.983913809E-3,8.276629762E-2
2.138358500E0,8.449111879E-2,-5.034260079E-2,-3.636387177E-3,9.841925584E-2
2.148395500E0,9.257141501E-2,-5.732141435E-2,1.031867694E-3,1.088865289E-1
2.158433792E0,8.903949708E-2,-5.787116662E-2,6.254974753E-3,1.063777640E-1
2.168471792E0,7.880097628E-2,-5.437790230E-2,1.029791962E-2,9.629432626E-2
2.178508792E0,6.147205830E-2,-4.598393291E-2,1.403082162E-2,7.803973342E-2
2.188546792E0,3.759602457E-2,-3.348438442E-2,1.671768352E-2,5.304852501E-2
2.198584792E0,1.428394578E-2,-2.103340812E-2,1.771331951E-2,3.098704653E-2
2.208621792E0,-1.465422846E-2,-4.899711814E-3,1.783715561E-2,2.359910397E-2
2.218659792E0,-3.861020878E-2,1.191077568E-2,1.692482829E-2,4.380712969E-2
2.228696792E0,-5.797325447E-2,2.641515061E-2,1.336045470E-2,6.509347253E-2
2.238734792E0,-7.275462151E-2,3.937931359E-2,9.665806778E-3,8.329101458E-2
2.248772792E0,-7.852462679E-2,5.067218468E-2,4.322973080E-3,9.355466535E-2
2.258809792E0,-7.572390139E-2,5.487788841E-2,-7.875706069E-5,9.351843712E-2
2.268847792E0,-6.458736211E-2,5.552104115E-2,-4.347537644E-3,8.528197019E-2
2.278884792E0,-4.727589339E-2,5.225463212E-2,-8.097743616E-3,7.093045978E-2
2.288922792E0,-2.808222547E-2,4.397832975E-2,-1.177184097E-2,5.349094423E-2
2.298960792E0,-2.547428478E-3,3.382562473E-2,-1.538005657E-2,3.724524696E-2
2.308997792E0,1.860100031E-2,3.874199092E-1,-4.410677403E-2,3.903659703E-1
2.319035792E0,-8.504796773E-3,1.070219517E0,-4.479956254E-2,1.071190528E0
2.329073792E0,-6.377950311E-2,2.368788242E0,-2.039222606E-2,2.369734459E0
2.339110792E0,-1.294982582E-1,3.864585161E0,4.801032133E-3,3.866757209E0
2.349148792E0,-1.646871418E-1,4.793574333E0,1.983407186E-3,4.796402889E0
2.359185792E0,-1.486936957E-1,4.758677959E0,-2.526646666E-2,4.761067541E0
2.369223792E0,-5.335412547E-2,3.710215092E0,-2.708087862E-2,3.710697517E0
2.379261792E0,6.377436221E-2,2.313980103E0,-2.770847827E-2,2.315024588E0
2.389298792E0,1.739714444E-1,7.811699510E-1,-1.544115786E-2,8.004567353E-1
2.399336792E0,2.826351523E-1,-7.983480692E-1,2.140562749E-3,8.469042749E-1
2.409374792E0,3.633867204E-1,-2.335846424E0,1.439935900E-2,2.363987260E0
2.419411792E0,4.042066336E-1,-3.666566849E0,2.853918448E-2,3.688890069E0
2.429449792E0,3.979921639E-1,-4.765693188E0,3.595582023E-2,4.782418023E0
2.439486792E0,3.582372367E-1,-5.554089069E0,4.977365211E-2,5.565852740E0
2.449524792E0,2.715881169E-1,-5.974671364E0,6.553690135E-2,5.981199971E0
2.459562792E0,1.519854218E-1,-6.014286518E0,8.548253030E-2,6.016813871E0
2.469599792E0,1.684970036E-2,-5.662787437E0,1.079289839E-1,5.663840935E0
2.479637792E0,-1.252835095E-1,-4.977825642E0,1.398383528E-1,4.981365158E0
2.489675792E0,-2.409384847E-1,-4.020396233E0,1.678755879E-1,4.031106478E0
2.499712792E0,-3.427796662E-1,-2.831519127E0,1.970685422E-1,2.858991864E0
2.509750792E0,-4.217951298E-1,-1.476243258E0,2.176236063E-1,1.550666089E0
2.519787792E0,-4.639643431E-1,-6.346809119E-2,2.257641852E-1,5.198659227E-1
2.529825792E0,-4.758593738E-1,1.339658260E0,2.186468840E-1,1.438378552E0
2.539863792E0,-4.518941939E-1,2.655735970E0,1.938302070E-1,2.700872461E0
2.549900792E0,-3.904486597E-1,3.814258575E0,1.556268930E-1,3.837347830E0
2.559938792E0,-3.025018871E-1,4.745217323E0,1.060088798E-1,4.756031194E0
2.569976792E0,-1.887963563E-1,5.390234947E0,5.205829814E-2,5.393791516E0
2.580013792E0,-4.649261013E-2,5.716297626E0,6.131180562E-4,5.716486726E0
