"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.954112917E-1,-4.000178900E-2,4.314494150E-2,3.063882530E-2,6.633525997E-2
9.054492917E-1,-5.126403797E-2,5.975752071E-2,4.790565312E-2,9.216243525E-2
9.154872917E-1,-7.125082606E-2,6.682760842E-2,7.147285581E-2,1.210412268E-1
9.255262917E-1,-8.247329570E-2,8.158022488E-2,7.633773923E-2,1.388691039E-1
9.355642917E-1,-9.326930232E-2,8.593345866E-2,8.210426331E-2,1.510788937E-1
9.456032917E-1,-9.818109138E-2,9.817606643E-2,8.367891848E-2,1.621117766E-1
9.556412917E-1,-8.856664259E-2,1.257079006E-1,6.608289242E-2,1.673722651E-1
9.656792917E-1,-9.984246807E-2,1.400660127E-1,5.191450417E-2,1.796722630E-1
9.757182917E-1,-9.598432900E-2,1.407405987E-1,4.984809816E-2,1.774985646E-1
9.857562917E-1,-8.682141317E-2,1.588201895E-1,2.995002329E-2,1.834633867E-1
9.957952917E-1,-1.000272218E-1,1.603141714E-1,6.432521939E-3,1.890699764E-1
1.005833292E0,-9.049448786E-2,1.566621466E-1,-1.710661411E-2,1.817275895E-1
1.015872292E0,-7.949373733E-2,1.533205177E-1,-3.438279748E-2,1.760926239E-1
1.025910292E0,-7.355925199E-2,1.418417938E-1,-5.017729640E-2,1.674748313E-1
1.035948292E0,-9.740056118E-2,1.372386464E-1,-6.763006568E-2,1.813701772E-1
1.045987292E0,-9.608279977E-2,1.281071594E-1,-7.730428398E-2,1.778181684E-1
1.056025292E0,-1.019684243E-1,9.583334293E-2,-9.805605233E-2,1.708700634E-1
1.066064292E0,-1.200709472E-1,5.510180315E-2,-1.448460567E-1,1.960449469E-1
1.076102292E0,-1.578932962E-1,-6.771770082E-3,-1.815934682E-1,2.407329174E-1
1.086140292E0,-2.134492270E-1,-4.184777325E-2,-2.561799663E-1,3.360654457E-1
1.096179292E0,-2.857427212E-1,-7.579031194E-2,-3.830984598E-1,4.838982373E-1
1.106217292E0,-3.619297850E-1,-9.765835030E-2,-4.452982163E-1,5.820831763E-1
1.116256292E0,-3.613407877E-1,-9.440512396E-2,-4.110539979E-1,5.553781427E-1
1.126294792E0,-3.135854445E-1,-1.193880655E-1,-3.597353250E-1,4.919337814E-1
1.136332792E0,-2.054927014E-1,-1.532216267E-1,-2.160821003E-1,3.352545171E-1
1.146371792E0,-1.352771340E-1,-1.794662511E-1,-1.503003395E-1,2.703668440E-1
1.156409792E0,-1.267045951E-1,-1.894468635E-1,-1.230318493E-1,2.590000086E-1
1.166448792E0,-1.097905097E-1,-1.717945397E-1,-7.769253910E-2,2.181821499E-1
1.176486792E0,-9.323134110E-2,-1.667241632E-1,-3.463832080E-2,1.941361451E-1
1.186524792E0,-7.338693271E-2,-1.261742709E-1,4.730689824E-2,1.534390144E-1
1.196563792E0,-6.161119770E-2,-8.383960728E-2,1.292363298E-1,1.659127734E-1
1.206601792E0,-3.522821350E-2,-5.005105136E-2,2.167071676E-1,2.251846604E-1
1.216640792E0,-2.483751029E-2,-2.429466940E-2,3.024022061E-1,3.043915687E-1
1.226678792E0,1.153736047E-2,1.055109965E-2,3.749573815E-1,3.752831922E-1
1.236716792E0,5.665449472E-2,3.752183866E-2,4.242090636E-1,4.296172131E-1
1.246755792E0,8.296232393E-2,6.409504009E-2,4.648273319E-1,4.765032737E-1
1.256793792E0,1.146885121E-1,8.382036628E-2,4.891722143E-1,5.093807651E-1
1.266832792E0,1.347168154E-1,1.156358524E-1,5.071190733E-1,5.372988230E-1
1.276870792E0,1.342099532E-1,1.068796652E-1,4.917093211E-1,5.207817497E-1
1.286908792E0,1.513005605E-1,1.299609460E-1,4.604471827E-1,5.017901106E-1
1.296947792E0,1.410223431E-1,1.301630769E-1,4.264795375E-1,4.676692461E-1
1.306985792E0,1.407626171E-1,1.303928725E-1,3.486378944E-1,3.979507469E-1
1.317024792E0,1.256520414E-1,1.339031571E-1,2.822901231E-1,3.367583772E-1
1.327062792E0,1.163157922E-1,1.308890088E-1,1.930008012E-1,2.605966335E-1
1.337101792E0,8.615296679E-2,1.154258642E-1,6.968126893E-2,1.600029470E-1
1.347139792E0,3.800609775E-2,1.146646298E-1,-3.303969204E-2,1.252360254E-1
1.357177792E0,2.659783283E-2,1.020426474E-1,-1.163648540E-1,1.570379758E-1
1.367216792E0,-1.551737744E-2,7.830505321E-2,-2.332793462E-1,2.465597772E-1
1.377254792E0,-4.484743143E-2,6.618540142E-2,-2.972584105E-1,3.078219649E-1
1.387293792E0,-7.600834913E-2,4.508884834E-2,-3.639692938E-1,3.745449509E-1
1.397331792E0,-1.173150265E-1,2.978865841E-2,-4.158721036E-1,4.331279097E-1
1.407369792E0,-1.472648762E-1,1.594915777E-2,-4.246546215E-1,4.497475591E-1
1.417408792E0,-1.757700617E-1,4.131752215E-3,-4.601975065E-1,4.926397578E-1
1.427446792E0,-2.078101539E-1,-2.580538893E-2,-4.516786981E-1,4.978600450E-1
