"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.647456125E0,1.181658916E-2,-2.966371737E-2,8.277297020E-3,3.298608121E-2
1.657494125E0,1.093495078E-2,-2.582301572E-2,4.800991155E-3,2.845084894E-2
1.667532125E0,1.122976281E-2,-2.291724086E-2,1.720246160E-3,2.557863851E-2
1.677569125E0,8.025646210E-3,-1.663338393E-2,-3.682990093E-3,1.883201726E-2
1.687607125E0,3.673774190E-3,-1.015151665E-2,-5.880364217E-3,1.229343688E-2
1.697645125E0,1.092137769E-3,-1.676627435E-3,-9.312723763E-3,9.525264739E-3
1.707683125E0,-2.899674233E-3,5.676360335E-3,-1.321159117E-2,1.466885539E-2
1.717720125E0,-5.652814638E-3,1.249321457E-2,-1.241181791E-2,1.849561968E-2
1.727758125E0,-7.747923024E-3,2.080600522E-2,-1.494581532E-2,2.676373591E-2
1.737796125E0,-8.157550357E-3,2.521635965E-2,-1.479512732E-2,3.035302644E-2
1.747834125E0,-8.775137365E-3,2.921642736E-2,-1.462282054E-2,3.382941832E-2
1.757871125E0,-8.227458224E-3,2.968491428E-2,-1.184094418E-2,3.300141154E-2
1.767909125E0,-6.013040431E-3,2.854108810E-2,-1.029977296E-2,3.093276076E-2
1.777947125E0,-1.878484152E-3,2.559996396E-2,-5.538962781E-3,2.625960712E-2
1.787985125E0,1.829701476E-3,2.082731389E-2,-3.861969803E-3,2.126122343E-2
1.798022125E0,6.957852282E-3,1.451876014E-2,1.481452491E-3,1.616789430E-2
1.808060125E0,8.064129390E-3,6.616096012E-3,4.998955876E-3,1.156686946E-2
1.818098125E0,1.187458076E-2,-8.746976964E-4,7.527382113E-3,1.408659809E-2
1.828135125E0,1.393506862E-2,-8.472962305E-3,8.954836056E-3,1.860554532E-2
1.838173125E0,1.507180464E-2,-1.625619270E-2,1.521354634E-2,2.688633646E-2
1.848211125E0,1.283421647E-2,-2.170954831E-2,1.377703715E-2,2.873722939E-2
1.858249125E0,1.171139441E-2,-2.595287003E-2,1.099798270E-2,3.052316899E-2
1.868286125E0,8.338501677E-3,-2.776941098E-2,1.285606995E-2,3.171670429E-2
1.878324125E0,2.336835489E-3,-2.829927392E-2,1.146860886E-2,3.062415213E-2
1.888362125E0,-2.550331643E-3,-2.647261135E-2,6.815800443E-3,2.745466225E-2
1.898400125E0,-7.650151849E-3,-2.268776484E-2,6.728776731E-3,2.487038265E-2
1.908437125E0,-9.894929826E-3,-1.642853580E-2,1.079945592E-3,1.920866230E-2
1.918475125E0,-1.330091804E-2,-9.830355644E-3,-1.244267914E-3,1.658609404E-2
1.928513125E0,-1.610735804E-2,-1.680816524E-3,-5.627032369E-3,1.714455075E-2
1.938551125E0,-1.670569927E-2,5.065763835E-3,-4.853188060E-3,1.811893445E-2
1.948588125E0,-1.570914313E-2,1.195349731E-2,-9.927309118E-3,2.209558196E-2
1.958626125E0,-1.313812751E-2,1.563752070E-2,-1.094369404E-2,2.317125131E-2
1.968664125E0,-9.587335400E-3,2.155799419E-2,-1.236262638E-2,2.663641576E-2
1.978702125E0,-5.090554710E-3,2.473391965E-2,-1.119558234E-2,2.762284548E-2
1.988739125E0,-6.726367865E-4,2.706658281E-2,-9.519655257E-3,2.869975926E-2
1.998776792E0,4.560674541E-3,2.473283559E-2,-9.799256921E-3,2.699144948E-2
2.008814792E0,9.094972163E-3,2.378102206E-2,-5.315026268E-3,2.600971036E-2
2.018852792E0,1.242462173E-2,1.848379709E-2,-4.024617374E-3,2.263226734E-2
2.028889792E0,1.521428302E-2,1.428745501E-2,-7.547881687E-4,2.088481466E-2
2.038927792E0,1.439785957E-2,5.868334789E-3,-5.271952832E-4,1.555678785E-2
2.048965792E0,1.206572913E-2,-2.729143016E-4,5.604467355E-3,1.330662827E-2
2.059003792E0,1.157277729E-2,-6.541124079E-3,6.563082337E-3,1.482530028E-2
2.069040792E0,7.187882438E-3,-1.302618906E-2,6.501030177E-3,1.623609093E-2
2.079078792E0,2.162696794E-3,-1.844801567E-2,9.645167738E-3,2.092930483E-2
2.089116792E0,-2.884792164E-3,-2.340788580E-2,9.439305402E-3,2.540377197E-2
2.099154792E0,-7.309134118E-3,-2.562146448E-2,1.347902883E-2,2.985912091E-2
2.109191792E0,-1.112863980E-2,-2.785612457E-2,1.309580076E-2,3.273087682E-2
2.119229792E0,-1.243961416E-2,-2.616690286E-2,1.546441205E-2,3.284202865E-2
2.129267792E0,-1.650386490E-2,-2.168613486E-2,1.762556657E-2,3.245499343E-2
2.139305792E0,-1.720680483E-2,-1.344966702E-2,1.985577866E-2,2.951642969E-2
2.149342792E0,-1.371060684E-2,-1.202167943E-2,2.222386189E-2,2.874720080E-2
2.159380792E0,-8.855398744E-3,-1.080282312E-2,2.770184167E-2,3.102436310E-2
2.169418792E0,5.314126611E-5,-1.414242852E-2,3.544258699E-2,3.816003251E-2
2.179456792E0,1.078438200E-2,-1.765195653E-2,4.269044474E-2,4.743804946E-2
2.189493792E0,2.294597402E-2,-2.196547762E-2,4.892676696E-2,5.833376772E-2
2.199531792E0,2.969958261E-2,-2.683060989E-2,5.858701095E-2,7.095339799E-2
2.209569792E0,3.419206664E-2,-2.742050216E-2,6.859384477E-2,8.140084091E-2
2.219606792E0,3.291694447E-2,-2.426225692E-2,7.741316408E-2,8.754987331E-2
2.229644792E0,3.079224192E-2,-2.057664841E-2,8.592998981E-2,9.357095581E-2
2.239682792E0,2.337064594E-2,-1.701493002E-2,9.570036083E-2,9.997126587E-2
2.249720792E0,1.764405146E-2,-1.352991909E-2,1.047188938E-1,1.070533417E-1
2.259757792E0,8.891839534E-3,-1.465876028E-2,1.121207625E-1,1.134240250E-1
2.269795792E0,1.299167518E-3,-1.924019493E-2,1.176649332E-1,1.192346822E-1
2.279833792E0,-5.361797288E-3,-2.485603839E-2,1.206762269E-1,1.233260851E-1
2.289871792E0,-1.094191894E-2,-3.419307992E-2,1.211689115E-1,1.263756203E-1
